# Bookmark Setups
# Rise of the Horde
#	546 King's Calender
# First War
#	592 KC
# Second War
#	598 KC
# Third War
#	617 KC
# Rise of the Qiraji
#	622 KC
# The Burning Crusade
#	625 CK
# Wrath of the Lich King
#	626 KC
# Cataclysm
# 	631 KC
# Mists of Pandaria
#	632 KC
# Warlords of Draenor
#	633 KC

# Special countries..
REB = "countries/Rebels.txt"
PIR = "countries/Pirates.txt"
NAT = "countries/Natives.txt"

# Human
A01 = "countries/Stormwind.txt"			
A02 = "countries/Westfall.txt"
A03 = "countries/Darkshire.txt"
A04 = "countries/Redridge.txt"
A05 = "countries/Northshire.txt"
A06 = "countries/Menethil.txt"
A07 = "countries/Defias Brotherhood.txt"
A08 = "countries/Lordaeron.txt"
A09 = "countries/Andorhal.txt"
A10 = "countries/Stratholme.txt"
A11 = "countries/Southshore.txt"
A12 = "countries/Gilneas.txt"
A13 = "countries/Shadowfang.txt"
A14 = "countries/Kul Tiras.txt"
A15 = "countries/Bloodsail.txt"
A16 = "countries/Stromgarde.txt"
A17 = "countries/Alterac.txt"
A18 = "countries/Dalaran.txt"
A19 = "countries/Southsea Pirates.txt"
A20 = "countries/Northsea Freebooters.txt"
A21 = "countries/Wastewander.txt"
A22 = "countries/The Scarlet Crusade.txt"
A23 = "countries/Theramore.txt"
A24 = "countries/The Argent Dawn.txt"
A25 = "countries/Lordaeron Remnants.txt"
A26 = "countries/Syndicate.txt"
A27 = "countries/Ravenholdt.txt"
E59 = "countries/Karazhan.txt"
E61 = "countries/Tirisfal.txt"
E62 = "countries/Tyr's Hand.txt"
E72 = "countries/Wintergarde.txt"
F04 = "countries/Tol Barad.txt"
F14 = "countries/Sons of Lothar.txt"
F16 = "countries/Blackthorn.txt"
F17 = "countries/Silver Hand.txt"
F18 = "countries/Scarlet Onslaught.txt"
F19 = "countries/Argent Crusade.txt"
F27 = "countries/Elwynn Bandits.txt"
F28 = "countries/Kurzen.txt"
F38 = "countries/Valgarde.txt"
F39 = "countries/Nedreck.txt"
F40 = "countries/Bloodhill Bandits.txt"
F52 = "countries/Pyrewood.txt"
F55 = "countries/Lordaeron Survivors.txt"
H06 = "countries/Alliance Vanguard.txt"
F58 = "countries/Theramore Deserters.txt"

# Dwarven
A28 = "countries/Wildhammer.txt"
A29 = "countries/Ironforge.txt"
A30 = "countries/Dark Iron.txt"
A31 = "countries/Frostborn.txt"
E56 = "countries/Thorium Brotherhood.txt"
F25 = "countries/Iron Summit.txt"
F29 = "countries/Nesingwary.txt"
F59 = "countries/Bael Modan.txt"

# Gnomish
A32 = "countries/Gnomeregan.txt"
A33 = "countries/Thermaplugg Exiles.txt"

# Orc
A34 = "countries/Shadowmoon.txt"
A35 = "countries/Warsong.txt"
A36 = "countries/Shattered Hand.txt"
A37 = "countries/Thunderlord.txt"
A38 = "countries/Laughing Skull.txt"
A39 = "countries/Bonechewer.txt"
A40 = "countries/Bleeding Hollow.txt"
