# 3011 Zul'Drar
is_city = yes

base_tax = 2
base_manpower = 3
base_production = 2

add_core = A14
add_core = A63
owner = A14
controller = A14

culture = culture_kul_tiran
religion = religion_church_of_the_light

hre = no
trade_goods = lumber




# The Second War
598.1.1 = { 
owner = A63
controller = A63
culture = culture_firetree
religion = religion_loa
}

# Beyond the Dark Portal
600.1.1 = { 
owner = A14
controller = A14
culture = culture_kul_tiran
religion = religion_church_of_the_light
}

# Rise of the Qiraji
622.1.1 = { 
owner = A63
controller = A63
culture = culture_firetree
religion = religion_loa
}
