# 554 Mosshide Camp/Slabchisel's Survey
is_city = yes

add_core = B13
owner = B13
controller = B13

base_tax = 2
base_manpower = 2
base_production = 2

culture = culture_mosshide
religion = religion_ancestral

hre = no
trade_goods = fossils




598.1.1 = { 
owner = A40
controller = A40
add_core = A40
culture = culture_bleeding_hollow 
religion = religion_fel 
}

# Beyond the Dark Portal
600.1.1 = { 
owner = B13
controller = B13
remove_core = A40
culture = culture_mosshide
religion = religion_ancestral
}

# Cataclysm
631.1.1 = { 
owner = A29
controller = A29
add_core = A29
culture = culture_ironforge
religion = religion_mystery_of_the_makers 
}
