# 591 Chillwind Camp
is_city = yes
add_core = A08
owner = A08
controller = A08

base_tax = 2
base_manpower = 2
base_production = 1

culture = culture_lordaeron
religion = religion_church_of_the_light
 
hre = no 
trade_goods = army_supplies




# The Frozen Throne
618.1.1 = { 
add_core = F17
controller = F17
owner = F17 
base_production = 2
remove_core = A08
}

# Rise of the Qiraji
622.1.1 = {
owner = A24
controller = A24
add_core = A24
remove_core = F17
religion = religion_argent_light 
}

#Wrath of the Lich King
626.1.1 = { 
owner = F19
controller = F19
add_core = F19 
base_tax = 3
base_manpower = 3
base_production = 3
}

# Cataclysm
631.1.1 = { 
owner = A01
controller = A01
add_core = A01
remove_core = F19
remove_core = A24
culture = culture_azerothian
religion = religion_church_of_the_light 
}
