# 656 Whelgar's Retreat
is_city = yes

add_core = A29
owner = A29
controller = A29

base_tax = 2
base_manpower = 1
base_production = 2

culture = culture_ironforge
religion = religion_church_of_the_light

hre = no
trade_goods = artifacts




# The Second War
598.1.1 = {
owner = A80
controller = A80
add_core = A80
culture = culture_steamwheedle
religion = religion_tech
}

# Beyond the Dark Portal
600.1.1 = {
owner = A29
controller = A29
remove_core = A80
culture = culture_ironforge 
religion = religion_church_of_the_light
}

# Rise of the Qiraji
622.1.1 = {
owner = A06
controller = A06
add_core = A06
remove_core = A29
}
