# 686 Shadowfang Keep
is_city = yes 

add_core = A12
owner = A12
controller = A12
capital = "Pyrewood Keep"

base_tax = 3
base_manpower = 4
base_production = 3
 
culture = culture_gilnean
religion = religion_church_of_the_light
 
hre = no 
trade_goods = lumber




# The Third War
617.1.1 = { 
owner = A08
controller = A08
add_core = A08
remove_core = A12 
}

# The Frozen Throne
618.1.1 = { 
owner = A13
controller = A13
add_core = A13
culture = culture_gilnean_worgen
religion = religion_shadow
capital = "Shadowfang Keep"
remove_core = A08 
}

# Cataclysm
631.1.1 = {
culture = culture_forsaken
religion = religion_shadow
add_core = A12
}

# Mists of Pandaria
632.1.1 = { 
culture = culture_gilnean_worgen
religion = religion_church_of_the_light 
owner = F53
controller = F53
remove_core = A13
add_core = F53
}


